City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
27,kapaa,22.0752,-159.319,302.14,72,0,7.2,US,1669850278
28,sisimiut,66.9395,-53.6735,264.66,84,100,12.39,GL,1669850278
29,tasiilaq,65.6145,-37.6368,276.24,97,100,9.36,GL,1669850279
30,candolim,15.5181,73.7626,296.27,50,0,2.96,IN,1669850279
31,cape town,-33.9258,18.4232,295.03,79,59,1.34,ZA,1669850269
32,camacha,33.0833,-16.3333,289.83,94,75,4.12,PT,1669850279
33,hilo,19.7297,-155.09,304.42,78,75,3.6,US,1669850279
34,geraldton,-28.7667,114.6,293.38,68,100,3.09,AU,1669850279
35,vila franca do campo,37.7167,-25.4333,289.37,86,42,1.88,PT,1669850279
36,cervo,43.6702,-7.4101,287.02,82,83,8.85,ES,1669850279
37,jimeta,9.2833,12.4667,297.19,27,92,1.03,NG,1669850279
38,turukhansk,65.8167,87.9833,258.58,94,100,5.87,RU,1669850095
39,torbay,47.6666,-52.7314,268.86,84,0,3.6,CA,1669850280
40,albany,42.6001,-73.9662,282.01,79,100,4.02,US,1669850280
41,churapcha,62.0025,132.4325,241.24,97,100,1.81,RU,1669850280
42,teluknaga,-6.0989,106.6381,298.25,94,20,2.06,ID,1669850063
43,kavieng,-2.5744,150.7967,301.91,68,23,1.2,PG,1669850280
44,kumbo,6.2,10.6667,288.97,51,83,1.78,CM,1669850280
45,kozhva,65.1073,57.0459,250.81,100,97,1.17,RU,1669850281
46,vaini,-21.2,-175.2,301.24,78,75,5.14,TO,1669850281
47,poya,-21.35,165.15,303.59,62,74,1.02,NC,1669850281
48,souillac,-20.5167,57.5167,294.36,88,40,2.06,MU,1669850281
49,krasnorechenskiy,44.6265,135.3532,254.47,84,100,7.37,RU,1669850281
50,kavali,14.9167,79.9833,297.86,83,68,2.99,IN,1669850281
51,virginia beach,36.8529,-75.978,290.17,90,40,4.12,US,1669850281
52,palmer,42.1584,-72.3287,287.49,84,100,7.2,US,1669850282
53,guerrero negro,27.9769,-114.0611,290.61,63,39,6.16,MX,1669850282
54,yellowknife,62.456,-114.3525,245.68,83,20,2.06,CA,1669850282
55,tambacounda,13.7539,-13.7586,300.55,19,15,1.79,SN,1669850282
56,port alfred,-33.5906,26.891,291.58,94,100,3.24,ZA,1669850282
57,victoria,22.2855,114.1577,289.44,77,100,7.15,HK,1669850248
58,qaanaaq,77.484,-69.3632,242.88,78,16,1.95,GL,1669850282
59,chabahar,25.2919,60.643,297.22,48,100,2.43,IR,1669850103
60,peleduy,59.6289,112.7406,253.85,95,100,3.74,RU,1669850283
61,numaligarh,26.6333,93.75,290.82,65,61,1.14,IN,1669850283
62,koror,7.3398,134.4733,301.33,78,75,3.09,PW,1669850283
63,douglas,41.3,-96.167,270.03,60,0,1.54,US,1669850162
64,san andres,12.5847,-81.7006,301.16,74,20,5.66,CO,1669850283
65,ponferrada,42.5466,-6.5962,280.91,87,73,1.27,ES,1669850283
66,chuy,-33.6971,-53.4616,294.04,88,6,6.77,UY,1669850283
67,kieta,-6.2167,155.6333,302.24,71,98,2.28,PG,1669850283
68,ushuaia,-54.8,-68.3,281.96,61,20,9.77,AR,1669850074
69,georgetown,5.4112,100.3354,299.39,92,20,1.54,MY,1669850275
70,komsomolskiy,40.4272,71.7189,282.55,66,40,8.23,UZ,1669850064
71,mahebourg,-20.4081,57.7,295.51,88,40,2.06,MU,1669850284
72,port hedland,-20.3167,118.5667,303.18,58,63,3.6,AU,1669850284
73,dikson,73.5069,80.5464,267.83,94,100,5.49,RU,1669850285
74,upernavik,72.7868,-56.1549,259.56,91,100,8.18,GL,1669850285
75,east london,-33.0153,27.9116,295.12,90,100,2.72,ZA,1669850285
76,vila velha,-20.3297,-40.2925,298.12,94,100,3.6,BR,1669850118
77,saldanha,-33.0117,17.9442,290.18,91,43,3.6,ZA,1669850285
78,broken hill,-31.95,141.4333,293.48,40,36,7.49,AU,1669850088
79,sao joao da barra,-21.6403,-41.0511,296.2,91,95,5.58,BR,1669850285
80,new norfolk,-42.7826,147.0587,287.43,42,7,1.32,AU,1669850285
81,te anau,-45.4167,167.7167,283.9,83,94,1.29,NZ,1669850286
82,ugoofaaru,5.6667,73.0,300.23,68,24,0.93,MV,1669850286
83,stromness,58.965,-3.296,281.41,86,100,8.49,GB,1669850286
84,saint-georges,12.0564,-61.7485,297.97,83,20,1.54,GD,1669850286
85,kon tum,14.35,108.0,292.03,94,89,1.35,VN,1669850286
86,dunedin,-45.8742,170.5036,289.71,59,25,1.79,NZ,1669850286
87,ulaangom,49.9811,92.0667,248.86,95,100,0.74,MN,1669850287
88,bredasdorp,-34.5322,20.0403,290.48,80,71,1.06,ZA,1669850287
89,havelock,34.8791,-76.9013,292.14,90,100,3.6,US,1669850287
90,constitucion,-35.3333,-72.4167,287.98,70,0,7.07,CL,1669850067
91,college,64.8569,-147.8028,258.26,77,100,0.0,US,1669850287
92,ortona,42.3496,14.4039,281.7,73,100,5.17,IT,1669850287
93,severo-kurilsk,50.6789,156.125,271.97,87,60,5.54,RU,1669850287
94,oranjemund,-28.55,16.4333,289.4,88,0,2.21,NA,1669850288
95,matay,28.419,30.7792,288.92,47,0,0.99,EG,1669850288
96,srednekolymsk,67.45,153.6833,248.6,98,100,1.78,RU,1669850288
97,saint george,37.1041,-113.5841,287.83,24,0,1.79,US,1669850288
98,mitu,1.1983,-70.1733,297.37,85,83,1.51,CO,1669850288
99,kasangulu,-4.5911,15.1708,294.19,94,98,1.28,CD,1669850288
100,bluff,-46.6,168.3333,283.6,77,90,8.62,NZ,1669850289
101,airai,-8.9266,125.4092,291.66,83,98,0.39,TL,1669850289
102,avarua,-21.2078,-159.775,301.18,74,20,7.72,CK,1669850084
103,malindi,-3.2175,40.1191,298.27,87,30,1.96,KE,1669850289
104,klaksvik,62.2266,-6.589,282.66,97,100,14.51,FO,1669850289
105,vilhena,-12.7406,-60.1458,294.27,94,0,2.57,BR,1669850290
106,pevek,69.7008,170.3133,258.82,88,100,1.44,RU,1669850290
107,tezu,27.9167,96.1667,291.29,42,33,2.1,IN,1669850290
108,leningradskiy,69.3833,178.4167,259.93,92,96,2.83,RU,1669850290
109,clyde river,70.4692,-68.5914,239.28,68,0,1.54,CA,1669850290
110,barentu,15.1139,37.5928,295.98,42,0,2.63,ER,1669850291
111,nanga eboko,4.6833,12.3667,294.73,76,57,1.29,CM,1669850291
112,carnarvon,-24.8667,113.6333,294.43,77,4,5.87,AU,1669850291
113,nouakchott,18.0858,-15.9785,293.11,50,8,5.83,MR,1669850291
114,kununurra,-15.7667,128.7333,303.14,51,92,1.54,AU,1669850291
115,hobart,-42.8794,147.3294,287.62,55,75,5.66,AU,1669850067
116,faanui,-16.4833,-151.75,300.04,77,15,6.19,PF,1669850291
117,los llanos de aridane,28.6585,-17.9182,292.01,70,100,4.12,ES,1669850292
118,qianan,44.9932,124.0581,258.03,42,24,5.91,CN,1669850292
119,castro,-24.7911,-50.0119,289.89,95,91,1.88,BR,1669850292
120,comodoro rivadavia,-45.8667,-67.5,289.07,44,0,10.8,AR,1669850255
121,lasa,46.6166,10.7002,278.64,90,100,1.16,IT,1669850292
122,iqaluit,63.7506,-68.5145,244.09,68,0,5.66,CA,1669850292
123,sungaipenuh,-2.0833,101.3833,290.84,96,99,0.77,ID,1669850293
124,hasaki,35.7333,140.8333,284.37,76,100,9.29,JP,1669850293
125,esperance,-33.8667,121.9,294.6,53,13,7.28,AU,1669850293
126,doha,25.2867,51.5333,297.14,80,0,2.06,QA,1669850255
127,lavrentiya,65.5833,-171.0,266.28,91,31,3.62,RU,1669850293
128,kodiak,57.79,-152.4072,268.88,68,0,0.0,US,1669850293
